Vrel,p_isothermal,p_adiabatic
1.0,4.0,4.0
1.0602409638554218,3.7727272727272725,3.6854759342000554
1.1204819277108433,3.56989247311828,3.4110901136161456
1.180722891566265,3.387755102040816,3.1699529385519645
1.2409638554216866,3.2233009708737868,2.9566315442187796
1.3012048192771084,3.074074074074074,2.766789143974973
1.3614457831325302,2.9380530973451324,2.5969255532764324
1.4216867469879517,2.8135593220338984,2.4441874533704993
1.4819277108433735,2.6991869918699187,2.306227596520685
1.5421686746987953,2.59375,2.18109892221405
1.6024096385542168,2.4962406015037595,2.0671739491413264
1.6626506024096386,2.4057971014492754,1.963082717695915
1.7228915662650603,2.3216783216783217,1.8676645183959353
1.783132530120482,2.2432432432432434,1.7799299841183092
1.8433734939759037,2.1699346405228757,1.6990310569775238
1.9036144578313254,2.10126582278481,1.6242369979614417
1.963855421686747,2.03680981595092,1.5549150764208504
2.024096385542169,1.9761904761904758,1.4905149151125112
2.0843373493975905,1.9190751445086704,1.430555713667226
2.144578313253012,1.8651685393258426,1.3746157556466827
2.2048192771084336,1.814207650273224,1.3223237400950818
2.265060240963855,1.7659574468085109,1.273351580487139
2.325301204819277,1.7202072538860103,1.2274083912659126
2.385542168674699,1.6767676767676765,1.1842354412054599
2.4457831325301207,1.6354679802955663,1.1436018982753442
2.5060240963855422,1.596153846153846,1.1053012259093689
2.566265060240964,1.5586854460093897,1.0691481180714515
2.6265060240963853,1.522935779816514,1.0349758821035342
2.6867469879518073,1.4887892376681613,1.0026341954028024
2.7469879518072293,1.4561403508771928,0.9719871755366344
2.807228915662651,1.4248927038626609,0.9429117142415048
2.8674698795180724,1.3949579831932772,0.9152960344589531
2.927710843373494,1.3662551440329218,0.8890384365917343
2.9879518072289155,1.338709677419355,0.8640462058665284
3.0481927710843375,1.3122529644268774,0.8402346573376839
3.108433734939759,1.2868217054263567,0.8175262988712031
3.168674698795181,1.2623574144486691,0.7958500955756466
3.2289156626506026,1.2388059701492538,0.7751408217277453
3.289156626506024,1.216117216117216,0.7553384883789225
3.3493975903614457,1.1942446043165469,0.7363878366071587
3.4096385542168677,1.1731448763250882,0.7182378878626066
3.4698795180722892,1.1527777777777777,0.7008415440980335
3.5301204819277108,1.1331058020477816,0.6841552314191915
3.5903614457831328,1.1140939597315436,0.6681385818701626
3.6506024096385543,1.0957095709570956,0.6527541487126188
3.710843373493976,1.077922077922078,0.6379671511887175
3.771084337349398,1.060702875399361,0.6237452452937041
3.8313253012048194,1.0440251572327044,0.6100583175416474
3.891566265060241,1.0278637770897834,0.5968782990987277
3.951807228915663,1.0121951219512195,0.5841789979936661
