T_K,inverseT,lnk
270.0,0.003703703703703704,0.7531925886948901
275.2511415525114,0.003633045786330458,1.1781022949396198
280.50228310502285,0.003565033371316946,1.5871029612305416
285.75342465753425,0.003499520613614573,1.9810716439409357
291.00456621004565,0.0034363721951984937,2.3608220939471987
296.2557077625571,0.0033754623921085076,2.727110367088265
301.5068493150685,0.0033166742389822805,3.0806398483434516
306.7579908675799,0.0032598987793986305,3.4220657599813893
312.0091324200913,0.0032050343919215575,3.7519992144736025
317.26027397260276,0.0031519861830742657,4.071010864916705
322.51141552511416,0.0031006654396148947,4.379634198836815
327.76255707762556,0.00305098913346336,4.678368515370238
333.013698630137,0.0030028794734677086,4.9676816207693335
338.2648401826484,0.0029562634989200864,5.24801227284205
343.5159817351598,0.002911072710354912,5.519772401190618
348.7671232876712,0.0028672427336999214,5.783349126878785
354.01826484018267,0.0028247130143170384,6.039106602353069
359.26940639269407,0.0027834265378749363,6.287387690008451
364.52054794520546,0.002743329575347614,6.528515495669502
369.7716894977169,0.0027043714497406767,6.762794771409336
375.0228310502283,0.0026665043224156824,6.990513200513326
380.2739726027397,0.0026296829971181558,7.211942575979719
385.5251141552511,0.00259386474002132,7.427339882707836
390.7762557077626,0.002559009114279037,7.636948292433443
396.027397260274,0.002525077827741266,7.840998079509807
401.2785388127854,0.0024920345926263084,8.039707464785131
406.5296803652968,0.0024598449960687406,8.233283394077825
411.7808219178082,0.002428476380572189,8.421922257087825
417.0319634703196,0.002397897733493923,8.605810551993995
422.283105022831,0.002368079584775087,8.785125500465432
427.5342465753425,0.0023389939122076256,8.96003561734994
432.7853881278539,0.0023106140535978053,9.130701238889074
438.03652968036533,0.002282914625247576,9.29727501294004
443.28767123287673,0.0022558714462299133,9.459902354354856
448.53881278538813,0.0022294614679833043,9.618721868372196
453.78995433789953,0.002203662708794526,9.773865744612925
459.04109589041093,0.0021784541927782754,9.925460124033261
464.2922374429224,0.0021538158929976397,10.07362544097655
469.54337899543384,0.0021297286784012445,10.218476742272946
474.79452054794524,0.0021061742642815924,10.360123985164057
480.04566210045664,0.002083135165984971,10.498672315673835
485.29680365296804,0.0020605946556266465,10.634222328906864
490.54794520547944,0.002038536721586149,10.766870312628251
495.7990867579909,0.0020169460305765334,10.896708475364568
