r_over_sigma,U_over_epsilon
0.82,30.12304283998429
0.8637249283667622,13.5695418722162
0.9074498567335243,5.6653865440490545
0.9511747851002865,1.8922044574393837
0.9948997134670486,0.12850468800760861
1.038624641833811,-0.6480790943960848
1.082349570200573,-0.9404579595406022
1.1260744985673352,-0.999635407445211
1.1697994269340974,-0.9518108050044507
1.2135243553008594,-0.860301532626544
1.2572492836676217,-0.7563681539349676
1.300974212034384,-0.6548369584076833
1.3446991404011461,-0.562129641615687
1.3884240687679084,-0.4804304738860279
1.4321489971346706,-0.40985838233345473
1.4758739255014328,-0.34959617629118866
1.5195988538681948,-0.2984702346302698
1.563323782234957,-0.2552396139113166
1.607048710601719,-0.21873191106800963
1.6507736389684813,-0.18789921407379376
1.6944985673352435,-0.1618334072762002
1.7382234957020057,-0.13976180263963697
1.781948424068768,-0.12103418452694945
1.8256733524355302,-0.10510700430341476
1.8693982808022924,-0.09152757082759101
1.9131232091690547,-0.07991953599732712
1.9568481375358169,-0.06997016219388219
2.0005730659025787,-0.06141944688129821
2.044297994269341,-0.05405098487594542
2.088022922636103,-0.04768436944211392
2.1317478510028653,-0.042168913539079
2.1754727793696276,-0.037378481720497285
2.21919770773639,-0.03320724493501988
2.262922636103152,-0.02956619618473226
2.3066475644699143,-0.026380290364424765
2.3503724928366765,-0.023586094674858595
2.3940974212034383,-0.021129856069015535
2.4378223495702005,-0.018965909179430238
2.4815472779369627,-0.017055362314786052
2.525272206303725,-0.015365010752155015
2.568997134670487,-0.01386643606044799
2.6127220630372494,-0.012535257923758234
2.6564469914040116,-0.011350511203913413
2.700171919770774,-0.010294126058253061
2.743896848137536,-0.009350493036191922
2.7876217765042983,-0.008506098401832977
2.83134670487106,-0.007749217621023007
2.8750716332378223,-0.007069657132439716
2.9187965616045846,-0.006458536292557509
2.962521489971347,-0.005908102823340615
