scaled_Dt,scaled_x,normalized_c
0.25,-4.0,0.999999992291371
0.25,-3.839541547277937,0.999999971812193
0.25,-3.679083094555874,0.9999999019564259
0.25,-3.518624641833811,0.9999996755870071
0.25,-3.358166189111748,0.9999989787045855
0.25,-3.1977077363896846,0.9999969405926528
0.25,-3.037249283667622,0.9999912778893785
0.25,-2.8767908309455588,0.9999763311213263
0.25,-2.7163323782234956,0.9999388511762078
0.25,-2.555873925501433,0.9998495660363154
0.25,-2.3954154727793697,0.999647502285519
0.25,-2.2349570200573066,0.9992130650820134
0.25,-2.074498567335244,0.9983257142890787
0.25,-1.9140401146131807,0.996603870510413
0.25,-1.7535816618911175,0.9934297563858276
0.25,-1.5931232091690544,0.9878709440756636
0.25,-1.4326647564469916,0.9786224199362028
0.25,-1.2722063037249285,0.9640042146851278
0.25,-1.1117478510028653,0.9420535793014021
0.25,-0.9512893982808022,0.9107400691218464
0.25,-0.7908309455587395,0.8683027243482639
0.25,-0.6303724928366763,0.8136644980551877
0.25,-0.46991404011461313,0.7468336385912029
0.25,-0.3094555873925504,0.6691750195233747
0.25,-0.14899713467048725,0.5834446849851325
0.25,0.011461318051575908,0.49353392687450565
0.25,0.17191977077363862,0.40395185338599526
0.25,0.33237822349570223,0.3191582933375656
0.25,0.49283667621776495,0.2429088092962295
0.25,0.6532951289398277,0.1777694957438568
0.25,0.8137535816618913,0.1249028694277548
0.25,0.974212034383954,0.0841411904690127
0.25,1.1346704871060167,0.05428362096612965
0.25,1.2951289398280803,0.03350634502464478
0.25,1.455587392550143,0.019770532516982187
0.25,1.6160458452722057,0.011143697554370224
0.25,1.7765042979942693,0.005996393905637998
0.25,1.936962750716332,0.0030787048813195605
0.25,2.0974212034383957,0.0015075143431672045
0.25,2.2578796561604584,0.0007037123983888449
0.25,2.418338108882521,0.0003130521022817745
0.25,2.5787965616045847,0.00013267592440407983
0.25,2.7392550143266474,5.3555537148031185e-05
0.25,2.89971346704871,2.0584959070368836e-05
0.25,3.0601719197707737,7.532472778071231e-06
0.25,3.2206303724928365,2.6235293320020503e-06
0.25,3.381088825214899,8.696065751934157e-07
0.25,3.541547277936963,2.742734048211126e-07
0.25,3.7020057306590255,8.230206505199789e-08
0.25,3.862464183381088,2.349372751897505e-08
1,-4.0,0.9976611325094764
1,-3.839541547277937,0.9966858698970364
1,-3.679083094555874,0.9953592090456554
1,-3.518624641833811,0.9935775961464961
1,-3.358166189111748,0.9912155853308853
1,-3.1977077363896846,0.9881241119143449
1,-3.037249283667622,0.984129595097748
1,-2.8767908309455588,0.9790341972852169
1,-2.7163323782234956,0.9726175665734597
1,-2.555873925501433,0.9646403551307952
1,-2.3954154727793697,0.9548497333948192
1,-2.2349570200573066,0.942987005960559
1,-2.074498567335244,0.9287972820541461
1,-1.9140401146131807,0.912040969464704
1,-1.7535816618911175,0.8925066593627473
1,-1.5931232091690544,0.8700247693320204
1,-1.4326647564469916,0.8444811355668213
1,-1.2722063037249285,0.8158296161621518
1,-1.1117478510028653,0.7841027076061695
1,-0.9512893982808022,0.7494192028052952
1,-0.7908309455587395,0.711988040018761
1,-0.6303724928366763,0.6721077064320139
1,-0.46991404011461313,0.6301608548942739
1,-0.3094555873925504,0.5866041438761437
1,-0.14899713467048725,0.541953686531661
1,0.011461318051575908,0.49676685726344916
1,0.17191977077363862,0.45162151514859916
1,0.33237822349570223,0.40709392901546276
1,0.49283667621776495,0.3637368036810527
1,0.6532951289398277,0.32205879788782493
1,0.8137535816618913,0.2825067928357827
1,0.974212034383954,0.24545193076473792
1,1.1346704871060167,0.21118012248576412
1,1.2951289398280803,0.17988735596495953
1,1.455587392550143,0.1516797634773091
1,1.6160458452722057,0.12657805960789464
1,1.7765042979942693,0.10452567785958167
1,1.936962750716332,0.08539973208235552
1,2.0974212034383957,0.06902382160470855
1,2.2578796561604584,0.05518168577259941
1,2.418338108882521,0.04363078448874769
1,2.5787965616045847,0.03411501854854021
1,2.7392550143266474,0.026375984780966866
1,2.89971346704871,0.02016236260437615
1,3.0601719197707737,0.015237228603558861
1,3.2206303724928365,0.011383276024328148
1,3.381088825214899,0.008406063845942335
1,3.541547277936963,0.006135528276677682
1,3.7020057306590255,0.004426056506475484
