abs_z,sqrtI,log10gamma
1,0.01,-0.00509
1,0.04679698878128608,-0.023819667289674617
1,0.06542106937364775,-0.03329932431118671
1,0.07981149338903169,-0.04062405013501713
1,0.09197734849398119,-0.04681647038343643
1,0.10271217452171422,-0.05228049683155254
1,0.11242663809780534,-0.05722515879178292
1,0.12136600476645308,-0.06177529642612462
1,0.12969065221505569,-0.06601254197746334
1,0.13751226647453071,-0.06999374363553613
1,0.14491232380290558,-0.07376037281567895
1,0.15195242593968014,-0.07734378480329719
1,0.15868049000412682,-0.08076836941210055
1,0.16513466040460922,-0.0840535421459461
1,0.1713458906012672,-0.08721505831604501
1,0.17733970899078763,-0.0902659118763109
1,0.18313746351834476,-0.09321696893083749
1,0.18875722159146355,-0.09607742579005495
1,0.19421443525630294,-0.0988551475454582
1,0.19952244239914593,-0.10155692318116528
1,0.20469285082756633,-0.10418866107123126
1,0.20973583704010182,-0.10675554105341183
1,0.2146603817613021,-0.10926213431650277
1,0.21947445786902806,-0.11171249905533528
1,0.2241851819721803,-0.11411025762383976
1,0.22879893787973624,-0.11645865938078574
1,0.2333214780809757,-0.11876063234321663
1,0.23775800784176973,-0.1210188259914608
1,0.24211325542374348,-0.12323564701068543
1,0.2463915311265358,-0.12541328934340673
1,0.2505967772535682,-0.12755375962206622
1,0.25473261065060027,-0.12965889882115553
1,0.25880235912345567,-0.13173040079383894
1,0.26280909277812653,-0.1337698282240664
1,0.266755651122629,-0.13577862642141816
1,0.27064466661076764,-0.13775813530488074
1,0.2744785851826138,-0.13970959985795042
1,0.27825968425707165,-0.14163417928684946
1,0.28199008855248975,-0.14353295507321728
1,0.2856717840474219,-0.14540693808013774
1,0.28930663034198273,-0.14725707484406922
1,0.29289637163821003,-0.1490842531638489
1,0.2964426465234452,-0.1508893070804336
1,0.2999469967124527,-0.1526730213266384
1,0.3034108748806079,-0.15443613531422942
1,0.306835651701056,-0.1561793467158375
1,0.3102226221825345,-0.15790331469091007
1,0.3135730113909731,-0.1596086627980053
2,0.01,-0.02036
2,0.04679698878128608,-0.09527866915869847
2,0.06542106937364775,-0.13319729724474683
2,0.07981149338903169,-0.16249620054006852
2,0.09197734849398119,-0.1872658815337457
2,0.10271217452171422,-0.20912198732621015
2,0.11242663809780534,-0.2289006351671317
2,0.12136600476645308,-0.2471011857044985
2,0.12969065221505569,-0.26405016790985336
2,0.13751226647453071,-0.27997497454214454
2,0.14491232380290558,-0.2950414912627158
2,0.15195242593968014,-0.30937513921318877
2,0.15868049000412682,-0.3230734776484022
2,0.16513466040460922,-0.3362141685837844
2,0.1713458906012672,-0.34886023326418003
2,0.17733970899078763,-0.3610636475052436
2,0.18313746351834476,-0.37286787572334995
2,0.18875722159146355,-0.3843097031602198
2,0.19421443525630294,-0.3954205901818328
2,0.19952244239914593,-0.40622769272466114
2,0.20469285082756633,-0.41675464428492504
2,0.20973583704010182,-0.4270221642136473
2,0.2146603817613021,-0.43704853726601106
2,0.21947445786902806,-0.44684999622134114
2,0.2241851819721803,-0.45644103049535906
2,0.22879893787973624,-0.46583463752314297
2,0.2333214780809757,-0.4750425293728665
2,0.23775800784176973,-0.4840753039658432
2,0.24211325542374348,-0.4929425880427417
2,0.2463915311265358,-0.5016531573736269
2,0.2505967772535682,-0.5102150384882649
2,0.25473261065060027,-0.5186355952846221
2,0.25880235912345567,-0.5269216031753557
2,0.26280909277812653,-0.5350793128962656
2,0.266755651122629,-0.5431145056856727
2,0.27064466661076764,-0.5510325412195229
2,0.2744785851826138,-0.5588383994318017
2,0.27825968425707165,-0.5665367171473978
2,0.28199008855248975,-0.5741318202928691
2,0.2856717840474219,-0.581627752320551
2,0.28930663034198273,-0.5890282993762769
2,0.29289637163821003,-0.5963370126553956
2,0.2964426465234452,-0.6035572283217344
2,0.2999469967124527,-0.6106920853065536
2,0.3034108748806079,-0.6177445412569177
2,0.306835651701056,-0.62471738686335
2,0.3102226221825345,-0.6316132587636403
2,0.3135730113909731,-0.6384346511920213
