T_K,ground,excited
80.0,0.9994565461631081,0.0005434538368918694
101.06583072100314,0.997401447295779,0.0025985527042209945
122.13166144200628,0.9927816264180637,0.007218373581936301
143.1974921630094,0.9852190859749935,0.014780914025006505
164.26332288401255,0.9749365541488024,0.02506344585119759
185.32915360501568,0.9624869255838047,0.037513074416195384
206.3949843260188,0.948516865217537,0.051483134782463025
227.46081504702195,0.9336280647055973,0.06637193529440265
248.52664576802508,0.9183178026607528,0.08168219733924724
269.59247648902823,0.9029668028820375,0.09703319711796249
290.65830721003135,0.8878499147371829,0.11215008526281714
311.7241379310345,0.8731550074887283,0.12684499251127168
332.7899686520376,0.8590026554445438,0.14099734455545623
353.8557993730408,0.8454634556029192,0.15453654439708076
374.9216300940439,0.8325720433949644,0.16742795660503562
395.98746081504703,0.8203378947631297,0.17966210523687035
417.05329153605015,0.8087533905327358,0.1912466094672642
438.1191222570533,0.7977997020251919,0.20220029797480807
459.18495297805646,0.7874510108257173,0.2125489891742827
480.2507836990596,0.7776774870860093,0.22232251291399077
501.3166144200627,0.7684473586600689,0.2315526413399312
522.3824451410658,0.759728322863213,0.24027167713678702
543.448275862069,0.7514884876992526,0.2485115123007474
564.5141065830721,0.7436969792939228,0.25630302070607724
585.5799373040752,0.7363243146417318,0.2636756853582682
606.6457680250784,0.7293426109918173,0.2706573890081827
627.7115987460816,0.7227256829167508,0.2772743170832492
648.7774294670846,0.7164490634124006,0.2835509365875995
669.8432601880878,0.710489974783149,0.28951002521685093
690.9090909090909,0.7048272674580659,0.2951727325419341
711.9749216300941,0.6994413394345023,0.3005586605654977
733.0407523510972,0.6943140451528971,0.305685954847103
754.1065830721003,0.6894285998329328,0.3105714001670672
775.1724137931035,0.6847694833308468,0.31523051666915325
796.2382445141066,0.6803223461833641,0.319677653816636
817.3040752351097,0.6760739195220384,0.32392608047796156
838.3699059561129,0.6720119298553977,0.32798807014460235
859.435736677116,0.668125019240948,0.3318749807590519
880.5015673981192,0.6644026710442897,0.33559732895571026
901.5673981191222,0.6608351412648552,0.33916485873514485
922.6332288401254,0.6574133952659267,0.34258660473407326
943.6990595611286,0.6541290496581775,0.3458709503418225
964.7648902821317,0.6509743190349528,0.3490256809650471
985.8307210031348,0.6479419672323476,0.3520580327676524
1006.8965517241379,0.6450252627795809,0.354974737220419
1027.962382445141,0.6422179382093798,0.3577820617906203
1049.0282131661443,0.63951415290986,0.3604858470901399
1070.0940438871473,0.6369084592158267,0.3630915407841733
1091.1598746081504,0.6343957714564201,0.3656042285435799
1112.2257053291537,0.6319713376962268,0.36802866230377324
1133.2915360501568,0.6296307139273549,0.37036928607264513
1154.3573667711598,0.6273697404899354,0.3726302595100646
1175.4231974921631,0.6251845205176254,0.3748154794823746
1196.4890282131662,0.62307140022273,0.37692859977727
