Q_over_K,dG_over_RT
0.01,-4.605170185988091
0.012031541825367172,-4.420223592173309
0.014475799869555953,-4.2352769983585254
0.0174166191586207,-4.050330404543743
0.020954878186343614,-3.8653838107289604
0.025211949334446725,-3.6804372169141777
0.03033386229164338,-3.4954906230993945
0.03649631328868352,-3.310544029284612
0.043910691980449945,-3.125597435469829
0.05283133271435981,-2.9406508416550468
0.06356423892427086,-2.755704247840264
0.07647757992149969,-2.570757654025481
0.0920143201528384,-2.385811060210698
0.11070741414516001,-2.2008644663959154
0.1331980883665738,-2.015917872581132
0.1602578371241384,-1.83097127876635
0.1928148870201951,-1.646024684951567
0.2319860377736922,-1.4610780911367844
0.2791149716375385,-1.2761314973220017
0.3358183455343216,-1.0911849035072188
0.4040412470021793,-0.9062383096924362
0.48612391624802287,-0.7212917158776532
0.5848820230649372,-0.5363451220628707
0.7037032523411159,-0.3513985282480876
0.8466635113189039,-0.1664519344333051
1.0186667448445619,0.018494659381477402
1.2256131546707976,0.20344125319626052
1.4746015932141905,0.38838784701104356
1.77417307445096,0.5733344408258266
2.134603755069697,0.7582810346406086
2.568257435970688,0.9432276284553918
3.090009675919158,1.1281742222701747
3.717758065661061,1.3131208160849577
4.473036166359716,1.4980674098997397
5.3817521721936945,1.6830140037145227
6.475077635350907,1.8679605975293059
7.790516739222392,2.052907191344088
9.373192798917728,2.237853785158871
11.277396119740903,2.422800378973654
13.56844630958961,2.607746972788437
16.324932927907607,2.792693566603219
19.641411331843415,2.977640160418002
23.631646194831475,3.1625867542327852
28.432513959539385,3.347533348047568
34.208698090453375,3.5324799418623503
41.158338186664785,3.717426535677133
49.51982673554642,3.902373129491916
59.57998665536622,4.087319723306699
71.68391013988558,4.272266317121481
86.24679630538954,4.457212910936264
